company,ticker,cat,price,mktcap,note,source
Nvidia,NVDA,Chipmaker,~$194,~$4.70T,"Center of the loop: supplier and investor to OpenAI, xAI, CoreWeave, Anthropic",https://investor.nvidia.com/news/press-release-details/2025/OpenAI-and-NVIDIA-Announce-Strategic-Partnership-to-Deploy-10-Gigawatts-of-NVIDIA-Systems/default.aspx
Microsoft,MSFT,Hyperscaler,~$369,~$2.74T,Owns ~27% of OpenAI; $250B Azure backlog,https://blogs.microsoft.com/blog/2025/10/28/the-next-chapter-of-the-microsoft-openai-partnership/
Alphabet,GOOGL,Hyperscaler,~$353,~$4.31T,~14% of Anthropic; TPU deal; large paper gains,https://www.cnbc.com/2026/04/24/google-to-invest-up-to-40-billion-in-anthropic-as-search-giant-spreads-its-ai-bets.html
Amazon,AMZN,Hyperscaler,~$241,~$2.59T,Anthropic backer ($8B+); $50B OpenAI commitment,https://www.aboutamazon.com/news/company-news/amazon-invests-additional-5-billion-anthropic-ai
Broadcom,AVGO,Chipmaker,~$375,~$1.79T,OpenAI custom chips; AI revenue doubling,https://investors.broadcom.com/news-releases/news-release-details/openai-and-broadcom-announce-strategic-collaboration-deploy-10
Meta,META,Hyperscaler,~$565,~$1.43T,AMD warrant deal; CoreWeave customer; huge capex,https://www.tomshardware.com/tech-industry/artificial-intelligence/amd-meta-100-billion-deal
TSMC,TSM,Supply chain,~$453,~$2.35T,"Foundry for Nvidia, AMD and Broadcom",
Oracle,ORCL,Cloud,~$149,~$428B,~$300B OpenAI / Stargate deal; heavy debt,https://www.theregister.com/special-features/2025/11/04/nvidia-openai-and-the-trillion-dollar-loop/
AMD,AMD,Chipmaker,~$540,~$881B,Gave OpenAI and Meta ~10% warrant deals,https://ir.amd.com/news-events/press-releases/detail/1260/amd-and-openai-announce-strategic-partnership-to-deploy-6-gigawatts-of-amd-gpus
SK Hynix,000660.KS,Supply chain,n/a,~$1.28T,HBM memory leader; +258% YTD,
Samsung,005930.KS,Supply chain,n/a,~$1.5T,HBM4 memory; +164% YTD,
Constellation,CEG,Energy,~$260,~$93B,Nuclear power deals with Microsoft and Meta,
CoreWeave,CRWV,Cloud,n/a,n/a,Neocloud · Nvidia stake + $6.3B backstop; $66.8B backlog,https://www.fool.com/investing/2025/10/05/coreweave-nvidia-6-3-billion-backstop-explained/
Nebius,NBIS,Cloud,~$259,~$66B,Neocloud; $2B Nvidia stake; +220% YTD,
Vertiv,VRT,Infrastructure,~$306,n/a,Data-center cooling and power; +177% YoY,
Micron,MU,Supply chain,"~$1,119",n/a,HBM memory super-cycle; new highs,
Arm,ARM,Chipmaker,~$343,n/a,Chip IP for AI silicon; +283% YTD,
ASML,ASML,Supply chain,"~$1,873",n/a,EUV lithography monopoly,
Super Micro,SMCI,Infrastructure,~$30,~$20B,AI servers; volatile on dilutive raise,
Oklo,OKLO,Energy,~$53,~$9B,Small modular reactors (Meta); well off its highs,
GE Vernova,GEV,Power,"~$1,104",~$297B,"Purest power-bottleneck play: gas turbines, grid and electrification, with a $163B backlog and turbine slots booked into 2029–30.",
Eaton,ETN,Power,n/a,~$160B,"Diversified electrical: switchgear, UPS and busways, plus Boyd Thermal for liquid cooling. The most reasonably valued large-cap electrical name.",
Vistra,VST,Energy,n/a,n/a,Independent power producer with nuclear and gas fleets and Meta PPAs; more leveraged and cheaper than Constellation.,
Marvell,MRVL,Chipmaker,n/a,n/a,"Number-two custom-ASIC co-designer behind Broadcom, building Amazon Trainium and Microsoft Maia silicon.",
Arista Networks,ANET,Networking,n/a,~$207B,Number-one AI Ethernet switching; FY revenue guide ~$11.5B with 52-week chip lead times as demand outruns supply.,
Applied Materials,AMAT,Equipment,n/a,~$553B,"Broadest wafer-fab-equipment franchise; captures more than half of incremental HBM tool value, the cheapest of the big-three on EV/EBITDA.",
Corning,GLW,Networking,n/a,n/a,"Near-monopoly in high-performance optical fiber, with multi-year deals tied to Meta (up to $6B), Nvidia and Amazon.",
Coherent,COHR,Networking,n/a,n/a,Datacenter optics and EML lasers; took a $2B Nvidia investment. Rich on forward multiples.,
Lockheed Martin,LMT,Space,n/a,~$117B,Defense prime; space is more than 15% of revenue on a $160B+ backlog. The best risk-adjusted space exposure with real earnings.,
Rocket Lab,RKLB,Space,n/a,n/a,"Closest pure-play launch comp to SpaceX; Neutron targeting late 2026, still pre-profit and richly valued.",
AST SpaceMobile,ASTS,Space,n/a,n/a,"Direct-to-device satellite broadband; FY2025 revenue $70.9M. Highest risk and highest upside, racing Starlink direct-to-cell.",
Iridium,IRDM,Space,n/a,~$6B,"Cash-generative LEO voice, data and IoT; the most financially sound pure-play satellite operator.",
Equinix,EQIX,Infrastructure,n/a,n/a,Interconnection-dense data-center REIT at a 51% EBITDA margin; the interconnection moat is the real asset.,
